사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num
카페송키,카페,영업,제주특별자치도 제주시 삼도이동 1120-2번지 ,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)",45,4.3,35
그림책방앤카페노란우산,카페,영업,제주특별자치도 제주시 애월읍 광령리 2981-1번지 자연숲 ,"제주특별자치도 제주시 애월읍 하광로 515, 104동 102호 (자연숲)",8,5.0,3
에릭스에스프레소,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1397-6번지 ,"제주특별자치도 제주시 구좌읍 구좌로 77, 1층",17,4.8,26
일품순두부한림점,한식,영업,제주특별자치도 제주시 한림읍 대림리 1845-2번지 ,"제주특별자치도 제주시 한림읍 한림상로 237, 1층",4,3.5,14
봉플라봉뱅,양식,영업,제주특별자치도 제주시 연동 312-57번지 정인하우스 ,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)",23,4.2,31
아라포차,술집,영업,제주특별자치도 제주시 아라일동 6138 ,"제주특별자치도 제주시 중앙로 573, 1층 (아라일동)",1,1.0,1
가빈거래처,카페,영업,제주특별자치도 제주시 아라일동 368-81 ,"제주특별자치도 제주시 산천단동2길 13, 1층 (아라일동)",0,0,0
스톤아일랜드탭하우스,호프,영업,제주특별자치도 제주시 연동 280-37 ,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)",44,4.5,25
레게펍,호프,영업,제주특별자치도 제주시 한림읍 귀덕리 3019 ,제주특별자치도 제주시 한림읍 귀덕리 3019 ,0,0.0,0
옹포분식,분식,영업,제주특별자치도 제주시 한림읍 옹포리 127-15번지 ,"제주특별자치도 제주시 한림읍 월계로 15, 1층",108,2.6,13
연두랑고갈비,한식,영업,제주특별자치도 제주시 도남동 66-17번지 ,"제주특별자치도 제주시 도남로 107-2, 1층 (도남동)",0,0,0
협재더꽃돈본점,카페,영업,제주특별자치도 제주시 한림읍 협재리 1781-1 ,"제주특별자치도 제주시 한림읍 한림로 366, 1층",0,0,0
우차도리,고기,영업,제주특별자치도 제주시 도련일동 1977-5 ,"제주특별자치도 제주시 건주로6길 42, 1층 (도련일동)",0,0.0,0
철판구이삼다돈외도점,고기,영업,제주특별자치도 제주시 외도일동 495-6 ,"제주특별자치도 제주시 우정로 44, 1층 (외도일동)",0,0,0
와르다레스토랑,양식,영업,제주특별자치도 제주시 삼도이동 148-3번지 ,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)",42,4.7,56
길섶나그네,한식,영업,제주특별자치도 제주시 조천읍 와산리 1303-6 ,"제주특별자치도 제주시 조천읍 미래로 241, 1층",3,4.0,8
사랑뜰,한식,영업,제주특별자치도 제주시 한림읍 한림리 1419-1번지 ,"제주특별자치도 제주시 한림읍 한림로 662-1, 1층",0,0.0,0
불티나네,분식,영업,제주특별자치도 제주시 애월읍 하귀2리 2720 ,"제주특별자치도 제주시 애월읍 가문동상2길 29-7, 1층",0,0.0,0
수니테이블,분식,영업,제주특별자치도 제주시 구좌읍 하도리 1544-2번지 ,제주특별자치도 제주시 구좌읍 문주란로 33-1,50,3.1,20
연화양꼬치,중식,영업,제주특별자치도 제주시 연동 276-3 ,"제주특별자치도 제주시 연동8길 28, 1층 105,106호 (연동)",14,5.0,9
돈대표,고기,영업,제주특별자치도 제주시 조천읍 함덕리 955-8번지 ,"제주특별자치도 제주시 조천읍 함덕로 20, 1층",29,3.5,4
예쁘게즐겁게,한식,영업,제주특별자치도 제주시 구좌읍 월정리 278 ,"제주특별자치도 제주시 구좌읍 월정3길 14, 1층",6,5.0,9
황금손가락한림점,일식,영업,제주특별자치도 제주시 한림읍 수원리 942-1번지 ,"제주특별자치도 제주시 한림읍 한림해안로 275, 1층",23,3.0,21
24시누름돌김치찌개,한식,영업,제주특별자치도 제주시 연동 304-3 ,"제주특별자치도 제주시 노연로 146, 1층 (연동)",15,4.5,11
이돈갓아라점,경양식,영업,제주특별자치도 제주시 아라일동 6127-4번지 ,"제주특별자치도 제주시 인다10길 36, 2층 (아라일동)",5,4.4,16
바삭돈가스삼화점,경양식,영업,제주특별자치도 제주시 화북일동 1019-4 티엠빌딩 ,"제주특별자치도 제주시 화삼로 7, 티엠빌딩 3층 301호 (화북일동)",11,4.7,13
제주도모퉁이스낵연회장,분식,영업,제주특별자치도 제주시 한림읍 귀덕리 3769 ,"제주특별자치도 제주시 한림읍 일주서로 5673, 1층",0,5.0,1
