사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars
카페송키,카페,영업,제주특별자치도 제주시 삼도이동 1120-2번지 ,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)",,,93,4.58
그림책방&카페노란우산,카페,영업,제주특별자치도 제주시 애월읍 광령리 2981-1번지 자연숲 ,"제주특별자치도 제주시 애월읍 하광로 515, 104동 102호 (자연숲)",,,57,4.52
에릭스에스프레소,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1397-6번지 ,"제주특별자치도 제주시 구좌읍 구좌로 77, 1층",,,81,4.47
일품순두부한림점,한식,영업,제주특별자치도 제주시 한림읍 대림리 1845-2번지 ,"제주특별자치도 제주시 한림읍 한림상로 237, 1층",,,312,4.35
봉플라봉뱅,양식,영업,제주특별자치도 제주시 연동 312-57번지 정인하우스 ,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)",,,256,4.79
아라포차,술집,영업,제주특별자치도 제주시 아라일동 6138 ,"제주특별자치도 제주시 중앙로 573, 1층 (아라일동)",,,38,4.27
가빈거래처,카페,영업,제주특별자치도 제주시 아라일동 368-81 ,"제주특별자치도 제주시 산천단동2길 13, 1층 (아라일동)",,,,
스톤아일랜드탭하우스,호프,영업,제주특별자치도 제주시 연동 280-37 ,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)",,,147,4.47
레게펍,호프,영업,제주특별자치도 제주시 한림읍 귀덕리 3019 ,제주특별자치도 제주시 한림읍 귀덕리 3019 ,,,,
옹포분식,분식,영업,제주특별자치도 제주시 한림읍 옹포리 127-15번지 ,"제주특별자치도 제주시 한림읍 월계로 15, 1층",,,,
연두랑고갈비,한식,영업,제주특별자치도 제주시 도남동 66-17번지 ,"제주특별자치도 제주시 도남로 107-2, 1층 (도남동)",,,0,0.0
협재더꽃돈본점,카페,영업,제주특별자치도 제주시 한림읍 협재리 1781-1 ,"제주특별자치도 제주시 한림읍 한림로 366, 1층",,,,
우차도리,고기,영업,제주특별자치도 제주시 도련일동 1977-5 ,"제주특별자치도 제주시 건주로6길 42, 1층 (도련일동)",,,63,4.51
철판구이삼다돈외도점,고기,영업,제주특별자치도 제주시 외도일동 495-6 ,"제주특별자치도 제주시 우정로 44, 1층 (외도일동)",,,,
와르다레스토랑,양식,영업,제주특별자치도 제주시 삼도이동 148-3번지 ,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)",,,135,4.69
길섶나그네,한식,영업,제주특별자치도 제주시 조천읍 와산리 1303-6 ,"제주특별자치도 제주시 조천읍 미래로 241, 1층",,,,
사랑뜰,한식,영업,제주특별자치도 제주시 한림읍 한림리 1419-1번지 ,"제주특별자치도 제주시 한림읍 한림로 662-1, 1층",,,,
불티나네,분식,영업,제주특별자치도 제주시 애월읍 하귀2리 2720 ,"제주특별자치도 제주시 애월읍 가문동상2길 29-7, 1층",,,,
수니테이블,분식,영업,제주특별자치도 제주시 구좌읍 하도리 1544-2번지 ,제주특별자치도 제주시 구좌읍 문주란로 33-1,,,183,4.42
연화양꼬치,중식,영업,제주특별자치도 제주시 연동 276-3 ,"제주특별자치도 제주시 연동8길 28, 1층 105,106호 (연동)",,,54,4.74
돈대표,고기,영업,제주특별자치도 제주시 조천읍 함덕리 955-8번지 ,"제주특별자치도 제주시 조천읍 함덕로 20, 1층",,,349,4.67
예쁘게즐겁게,한식,영업,제주특별자치도 제주시 구좌읍 월정리 278 ,"제주특별자치도 제주시 구좌읍 월정3길 14, 1층",,,87,4.86
황금손가락한림점,일식,영업,제주특별자치도 제주시 한림읍 수원리 942-1번지 ,"제주특별자치도 제주시 한림읍 한림해안로 275, 1층",,,219,4.19
24시누름돌김치찌개,한식,영업,제주특별자치도 제주시 연동 304-3 ,"제주특별자치도 제주시 노연로 146, 1층 (연동)",,,0,0.0
이돈갓아라점,경양식,영업,제주특별자치도 제주시 아라일동 6127-4번지 ,"제주특별자치도 제주시 인다10길 36, 2층 (아라일동)",,,88,4.48
바삭돈가스삼화점,경양식,영업,제주특별자치도 제주시 화북일동 1019-4 티엠빌딩 ,"제주특별자치도 제주시 화삼로 7, 티엠빌딩 3층 301호 (화북일동)",,,92,4.46
제주도모퉁이스낵연회장,분식,영업,제주특별자치도 제주시 한림읍 귀덕리 3769 ,"제주특별자치도 제주시 한림읍 일주서로 5673, 1층",,,37,4.68
남궁누들앤카페,중식,영업,제주특별자치도 제주시 한림읍 한림리 936-7번지 ,"제주특별자치도 제주시 한림읍 한림중앙로 46, 2층",,,,
한림피그농원,고기,영업,제주특별자치도 제주시 한림읍 한림리 455 ,"제주특별자치도 제주시 한림읍 한수풀로2길 31, 1층",,,,
하도39,카페,영업,제주특별자치도 제주시 구좌읍 하도리 463-5번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 1766-14, 1층",,,,
옥성식당,한식,영업,제주특별자치도 제주시 이도일동 1289-5 보성시장 ,"제주특별자치도 제주시 동광로1길 32, 보성시장 (이도일동)",,,0,0.0
제주마당,해산물,영업,제주특별자치도 제주시 이호일동 663-1번지 ,"제주특별자치도 제주시 도리로 50, 2층 (이호일동)",,,"1,224",4.35
공산명월,카페,영업,제주특별자치도 제주시 애월읍 광령리 2611-1 ,"제주특별자치도 제주시 애월읍 광령평화3길 18, 1층",,,183,4.6
대붕정,한식,영업,제주특별자치도 제주시 조천읍 선흘리 464-2번지 ,"제주특별자치도 제주시 조천읍 선교로 571, 1층",,,,
미연이네집,한식,영업,제주특별자치도 제주시 연동 281-17 삼무주택 ,"제주특별자치도 제주시 삼무로7길 34, 삼무주택 1층 (연동)",,,0,0.0
영화루,중식,영업,제주특별자치도 제주시 연동 304-37 ,"제주특별자치도 제주시 사장길 15-1, 1층 (연동)",,,0,0.0
맥주창고,호프,영업,제주특별자치도 제주시 도남동 909-1번지 윤재연립 ,"제주특별자치도 제주시 도남로 40, 1층 (도남동, 윤재연립)",,,32,4.66
성두길일오포차,포차,영업,제주특별자치도 제주시 연동 291-83번지 ,"제주특별자치도 제주시 성두길 15, 1층 (연동)",,,,
흑돼지세끼,고기,영업,제주특별자치도 제주시 오등동 611-8번지 ,"제주특별자치도 제주시 아연로 440, 1층 (오등동)",,,,
램하우스,고기,영업,제주특별자치도 제주시 조천읍 교래리 471-3 ,"제주특별자치도 제주시 조천읍 교래1길 45, B,C동 1층",,,"1,945",4.79
살레안의고깃,고기,영업,제주특별자치도 제주시 노형동 1942-1번지 ,"제주특별자치도 제주시 월산남길 110, 1층 (노형동)",,,,
쉬멍해장국,한식,영업,제주특별자치도 제주시 이도이동 2035-9 ,"제주특별자치도 제주시 구남로4길 8-12, 1층 (이도이동)",,,131,4.11
우도청정식당,한식,영업,제주특별자치도 제주시 우도면 연평리 1185-2번지 ,"제주특별자치도 제주시 우도면 우도해안길 804, 1층",,,0,0.0
사쿠라미치,호프,영업,제주특별자치도 제주시 삼도일동 529-3번지 ,"제주특별자치도 제주시 전농로 48-1, 1층 (삼도일동)",,,0,0.0
하누가물애,카페,영업,제주특별자치도 제주시 조천읍 대흘리 1667-5 ,"제주특별자치도 제주시 조천읍 중산간동로 669, 1층",,,,
앤드앤드,카페,영업,제주특별자치도 제주시 연동 256-10번지 뉴전원빌라 ,"제주특별자치도 제주시 연동4길 28-16, 1층 102호 (연동, 뉴전원빌라)",,,0,0.0
향기마라탕오리전문점,중식,영업,제주특별자치도 제주시 삼도이동 1241-12번지 ,"제주특별자치도 제주시 중앙로 140, 1층 (삼도이동)",,,,
짱돌,한식,영업,제주특별자치도 제주시 외도일동 405-4 ,"제주특별자치도 제주시 일주서로 7326, 1층 (외도일동)",,,12,4.5
인추자커피앤민박,카페,영업,제주특별자치도 제주시 추자면 대서리 8-8 ,"제주특별자치도 제주시 추자면 추자로 20-1, 1층",,,,
혜안,양식,영업,제주특별자치도 제주시 해안동 1724-1 ,"제주특별자치도 제주시 해안마을10길 39, 1층 (해안동)",,,123,4.34
수빈이네제주밥상,한식,영업,제주특별자치도 제주시 건입동 675-9번지 ,"제주특별자치도 제주시 사라봉7길 31-1, 1층 (건입동)",,,33,4.46
안녕하샌,호프,영업,제주특별자치도 제주시 구좌읍 월정리 562 ,"제주특별자치도 제주시 구좌읍 월정3길 53-15, 2동",,,141,4.51
응급실국물떡볶이제주이도점,분식,영업,제주특별자치도 제주시 이도이동 1035-3번지 ,"제주특별자치도 제주시 가령로4길 1, 1층 (이도이동)",,,,
신촌도시락,한식,영업,제주특별자치도 제주시 조천읍 신촌리 1789-3 ,"제주특별자치도 제주시 조천읍 신북로 88, 지하1층",,,,
사랑방포차,한식,영업,제주특별자치도 제주시 한림읍 한림리 1207번지 ,"제주특별자치도 제주시 한림읍 한림중앙로 14, 1층",,,0,0.0
돈삼겹직영5호점,한식,영업,제주특별자치도 제주시 이도이동 1952-2 ,"제주특별자치도 제주시 신설로9길 37, 지하1층 (이도이동)",,,61,4.57
미미래,호프,영업,제주특별자치도 제주시 용담이동 359-51번지 ,"제주특별자치도 제주시 용담로 94, 1층 (용담이동)",,,,
티엔미미,카페,영업,제주특별자치도 제주시 연동 253-13번지 ,"제주특별자치도 제주시 연동4길 8, 1,2층 (연동)",,,62,4.52
블랙,한식,영업,제주특별자치도 제주시 이도이동 1186-33번지 ,"제주특별자치도 제주시 서광로32길 37-5, 2층 (이도이동)",,,,
호자,한식,영업,제주특별자치도 제주시 구좌읍 세화리 1318-3번지 ,"제주특별자치도 제주시 구좌읍 세화8길 7, 1층",,,0,0.0
장전반점,중식,영업,제주특별자치도 제주시 애월읍 장전리 429 ,"제주특별자치도 제주시 애월읍 하소로 373, 1층",,,242,4.64
한림칼국수제주세화점,한식,영업,제주특별자치도 제주시 구좌읍 세화리 1-15번지 ,"제주특별자치도 제주시 구좌읍 해녀박물관길 33-1, 1층",,,514,4.51
베롱베롱인행원,한식,영업,제주특별자치도 제주시 구좌읍 행원리 165-3번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 820-38, 1층",,,0,0.0
문전성시,호프,영업,제주특별자치도 제주시 이도이동 1768-30번지 ,"제주특별자치도 제주시 신성로13길 17-1, 1층 (이도이동)",,,,
동문감자탕,한식,영업,제주특별자치도 제주시 일도일동 1102-10번지 보인빌딩 ,"제주특별자치도 제주시 중앙로13길 25-2, 보인빌딩 1층 (일도일동)",,,25,4.29
심해,일식,영업,제주특별자치도 제주시 조천읍 신흥리 35-4 ,"제주특별자치도 제주시 조천읍 조함해안로 330-1, 지하1층",,,0,0.0
애월기록,카페,영업,제주특별자치도 제주시 애월읍 하귀2리 2964-9번지 ,"제주특별자치도 제주시 애월읍 번대동길 4, 1층",,,,
금능바다식당,분식,영업,제주특별자치도 제주시 한림읍 금능리 2088-54 ,"제주특별자치도 제주시 한림읍 한림로 224, 1층",,,,
역전할머니맥주제주시청점,호프,영업,제주특별자치도 제주시 이도이동 1773-26번지 ,"제주특별자치도 제주시 광양8길 4, 1층 (이도이동)",,,125,4.53
오늘도치킨과맥주가좋다,호프,영업,제주특별자치도 제주시 한림읍 한림리 1323-3번지 ,"제주특별자치도 제주시 한림읍 사가길 22, 1층",,,0,0.0
알프스인소길,양식,영업,제주특별자치도 제주시 애월읍 소길리 854-2번지 ,"제주특별자치도 제주시 애월읍 소길남길 22, 1층",,,,
뽕꼬랑,한식,영업,제주특별자치도 제주시 조천읍 와흘리 165-39번지 ,"제주특별자치도 제주시 조천읍 남조로 2228, 1층",,,0,0.0
노가리앤비어이도일동점,호프,영업,제주특별자치도 제주시 이도일동 1245-3번지 ,"제주특별자치도 제주시 동광로 39, 1층 (이도일동)",,,,
앤,한식,영업,제주특별자치도 제주시 애월읍 하귀1리 1650-1번지 ,"제주특별자치도 제주시 애월읍 하귀12길 39, 1층",,,,
커피베이노형점,카페,영업,제주특별자치도 제주시 노형동 1045-9 ,"제주특별자치도 제주시 월랑로10길 23, 1층 (노형동)",,,,
젠틀래빗제주연동점,레스토랑,영업,제주특별자치도 제주시 연동 284-9 ,"제주특별자치도 제주시 연동12길 4, 15층 (연동)",,,0,0.0
딜레탕트,카페,영업,제주특별자치도 제주시 조천읍 조천리 3253-12 ,"제주특별자치도 제주시 조천읍 신북로 144, 1,2층",,,466,4.91
원스몰글라스,와인,영업,제주특별자치도 제주시 이도이동 1767-20번지 ,"제주특별자치도 제주시 서광로32길 27-3, 2층 (이도이동)",,,21,4.45
제주울어멍김밥,한식,영업,제주특별자치도 제주시 노형동 743-5 ,"제주특별자치도 제주시 진군2길 17, 1층 (노형동)",,,41,4.43
미리로,카페,영업,제주특별자치도 제주시 이호일동 1795번지 ,"제주특별자치도 제주시 테우해안로 136, 2층 (이호일동)",,,350,4.57
36.5도여름,카페,영업,제주특별자치도 제주시 애월읍 납읍리 2274-7번지 ,"제주특별자치도 제주시 애월읍 애납로 165, 1층",,,84,4.61
더더,한식,영업,제주특별자치도 제주시 애월읍 신엄리 753-1번지 ,"제주특별자치도 제주시 애월읍 엄장로 16, 1층",,,55,4.76
안녕전복,한식,영업,제주특별자치도 제주시 삼도이동 887-1번지 ,"제주특별자치도 제주시 관덕로 3, 1층 (삼도이동)",,,593,4.55
한앤솜하우스,카페,영업,제주특별자치도 제주시 노형동 1576-10 ,"제주특별자치도 제주시 진군남2길 10-5, 1층 (노형동)",,,24,4.82
호랑이부엌,한식,영업,제주특별자치도 제주시 한림읍 한림리 1391-2 ,"제주특별자치도 제주시 한림읍 한성길 4-1, 1층",,,,
치토랑제주아라점,경양식,영업,제주특별자치도 제주시 아라이동 1384-9번지 ,"제주특별자치도 제주시 간월동로 21, 1층 (아라이동)",,,,
