사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars,소재지,법정동
앤,한식,영업,제주특별자치도 제주시 애월읍 하귀1리 1650-1번지 ,"제주특별자치도 제주시 애월읍 하귀12길 39, 1층",195,4.1,62,0,0.0,제주시,애월
카페포레스트,카페,영업,제주특별자치도 제주시 구좌읍 평대리 2876-11번지 ,"제주특별자치도 제주시 구좌읍 비자림로 2330, 1층",42,4.4,24,0,0.0,제주시,구좌
애월연어,일식,영업,제주특별자치도 제주시 애월읍 유수암리 2709-1 ,"제주특별자치도 제주시 애월읍 하소로 660, 1층",193,4.6,83,0,0.0,제주시,애월
옛날아우내순대,한식,영업,제주특별자치도 제주시 애월읍 하귀2리 2626번지 ,"제주특별자치도 제주시 애월읍 애월해안로 960, 1층",30,4.4,22,0,0.0,제주시,애월
협재술집김씨술생활,일식,영업,제주특별자치도 제주시 한림읍 협재리 1586번지 ,"제주특별자치도 제주시 한림읍 한림로 406, 2층",50,3.9,35,0,0.0,제주시,한림
환영키친앤게스트하우스,양식,영업,제주특별자치도 제주시 구좌읍 송당리 1358-1번지 ,"제주특별자치도 제주시 구좌읍 송당2길 2, 1층",45,4.7,23,0,0.0,제주시,구좌
포구횟집,일식,영업,제주특별자치도 제주시 애월읍 하귀2리 2727 ,제주특별자치도 제주시 애월읍 가문동길 43,95,3.7,20,0,0.0,제주시,애월
흑돼지촌,고기,영업,제주특별자치도 제주시 한림읍 동명리 1858 ,"제주특별자치도 제주시 한림읍 한림상로 62, 1층",95,4.8,263,0,0.0,제주시,한림
해변,해산물,영업,제주특별자치도 제주시 애월읍 애월리 410-6번지 ,제주특별자치도 제주시 애월읍 애월해안로 90,458,4.5,114,0,0.0,제주시,애월
교래손칼국수,한식,영업,제주특별자치도 제주시 조천읍 교래리 491 ,제주특별자치도 제주시 조천읍 비자림로 645,43,3.9,54,0,0.0,제주시,조천
해녀촌식당,한식,영업,제주특별자치도 제주시 구좌읍 동복리 1638-1 ,제주특별자치도 제주시 구좌읍 동복로 33,161,3.6,115,0,0.0,제주시,구좌
제주본,한식,영업,제주특별자치도 제주시 노형동 933-17번지 (송천1로74) ,"제주특별자치도 제주시 원노형남1길 31 (노형동,(송천1로74))",110,4.1,69,0,0.0,제주시,제주
장원삼계탕,한식,영업,제주특별자치도 제주시 조천읍 조천리 2345-6번지 ,제주특별자치도 제주시 조천읍 신북로 258,67,4.9,13,0,0.0,제주시,조천
해품돈연동,한식,영업,제주특별자치도 제주시 연동 274-6 ,"제주특별자치도 제주시 신광로 75, 1층 (연동)",83,4.0,4,0,0.0,제주시,제주
터미널남원,한식,영업,제주특별자치도 제주시 용담일동 2827-17번지 (남사1로14) ,"제주특별자치도 제주시 서광로3길 6 (용담일동,(남사1로14))",107,4.6,82,0,0.0,제주시,제주
이호,해산물,영업,제주특별자치도 제주시 이호일동 1667-1번지 ,제주특별자치도 제주시 테우해안로 174 (이호일동),45,4.3,10,0,0.0,제주시,제주
오이디오339,카페,영업,제주특별자치도 제주시 외도이동 339번지 ,"제주특별자치도 제주시 일주서로 7345, 1층 (외도이동)",323,4.4,106,0,0.0,제주시,제주
협재섬바다,한식,영업,제주특별자치도 제주시 한림읍 협재리 2765-5 ,"제주특별자치도 제주시 한림읍 금능남로 53, 1층",51,3.8,41,0,0.0,제주시,한림
곽지횟집,해산물,영업,제주특별자치도 제주시 애월읍 곽지리 1622-44 ,"제주특별자치도 제주시 애월읍 곽지9길 39, 1층",48,3.8,41,0,0.0,제주시,애월
파스토,경양식,영업,제주특별자치도 제주시 한림읍 귀덕리 3883번지 ,"제주특별자치도 제주시 한림읍 한림해안로 540, 2층",36,4.9,111,0,0.0,제주시,한림
애월1인식당,해산물,영업,제주특별자치도 제주시 애월읍 소길리 674-1번지 ,"제주특별자치도 제주시 애월읍 장소로 162, 1층",241,4.8,55,0,0.0,제주시,애월
금능샌드,경양식,영업,제주특별자치도 제주시 한림읍 금능리 1426-4번지 ,"제주특별자치도 제주시 한림읍 금능길 89, 1층",115,4.2,72,0,0.0,제주시,한림
스시앤,일식,영업,제주특별자치도 제주시 이도이동 1053-1 ,"제주특별자치도 제주시 고산동산5길 21-1, 105호 (이도이동)",32,4.4,20,0,0.0,제주시,제주
고사리식당,해산물,영업,제주특별자치도 제주시 조천읍 선흘리 1856-8 ,"제주특별자치도 제주시 조천읍 번영로 1680, 1층",43,4.4,68,0,0.0,제주시,조천
그때그집,한식,영업,제주특별자치도 제주시 애월읍 애월리 407-6 ,"제주특별자치도 제주시 애월읍 애월해안로 97, 1층",279,4.5,124,0,0.0,제주시,애월
바다를본돼지2호,한식,영업,제주특별자치도 제주시 노형동 1055-4 ,"제주특별자치도 제주시 정존15길 42, 1층 (노형동)",120,3.9,11,0,0.0,제주시,제주
제주섬신룽푸마라탕제주대,한식,영업,제주특별자치도 제주시 아라일동 368-63 ,"제주특별자치도 제주시 산천단동2길 24, 1층 (아라일동)",30,4.5,14,0,0.0,제주시,제주
라플라주,한식,영업,제주특별자치도 제주시 조천읍 함덕리 1004-10 ,"제주특별자치도 제주시 조천읍 조함해안로 525, 디동 1층",105,3.6,37,0,0.0,제주시,조천
참좋은해물라면애월,해산물,영업,제주특별자치도 제주시 애월읍 구엄리 599 ,"제주특별자치도 제주시 애월읍 애월해안로 724, 1층",41,4.5,128,0,0.0,제주시,애월
유수암식당,한식,영업,제주특별자치도 제주시 애월읍 유수암리 1928번지 ,제주특별자치도 제주시 애월읍 유수암로 2,193,4.6,83,0,0.0,제주시,애월
선인장,한식,영업,제주특별자치도 제주시 한림읍 월령리 368 ,"제주특별자치도 제주시 한림읍 월령안길 14-3, 1층",60,4.6,47,0,0.0,제주시,한림
함덕해장국,한식,영업,제주특별자치도 제주시 조천읍 함덕리 산 9-4 ,제주특별자치도 제주시 조천읍 신북로 650,46,4.8,41,0,0.0,제주시,조천
도남돼지,고기,영업,제주특별자치도 제주시 도남동 47번지 ,"제주특별자치도 제주시 신성로 36, 101호 (도남동)",48,4.9,21,0,0.0,제주시,제주
이매화지혜제주해물밥,한식,영업,제주특별자치도 제주시 외도이동 313-1 ,제주특별자치도 제주시 월대3길 14-6 (외도이동),98,3.5,35,0,0.0,제주시,제주
우도해녀식당,한식,영업,제주특별자치도 제주시 우도면 연평리 2308-3번지 ,"제주특별자치도 제주시 우도면 우도해안길 440, 나동 1층",212,3.5,39,0,0.0,제주시,우도
에코랜드,경양식,영업,제주특별자치도 제주시 조천읍 대흘리 1221-1번지 ,제주특별자치도 제주시 조천읍 번영로 1278-169,148,3.7,148,0,0.0,제주시,조천
크래커스,카페,영업,제주특별자치도 제주시 한경면 조수리 1363-1번지 ,"제주특별자치도 제주시 한경면 낙수로 1, 1층",34,4.8,16,0,0.0,제주시,한경
