사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars,소재지,법정동,위도,경도
카페송키,카페,영업,제주특별자치도 제주시 삼도이동 1120-2 ,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)",45,4.3,93,4.58,제주시,제주,33.5151413051746, 126.520191797349
스톤아일랜드탭하우스,호프,영업,제주특별자치도 제주시 연동 280-37 ,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)",44,4.5,147,4.47,제주시,제주,33.4924613482042, 126.493267995264
와르다레스토랑,양식,영업,제주특별자치도 제주시 삼도이동 148-3 ,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)",42,4.7,135,4.69,제주시,제주,33.5110423136013, 126.523109849814
제주마당,해산물,영업,제주특별자치도 제주시 이호일동 663-1 ,"제주특별자치도 제주시 도리로 50, 2층 (이호일동)",161,3.9,1224,4.35,제주시,제주,33.4982303972007, 126.458120519747
공산명월,카페,영업,제주특별자치도 제주시 애월읍 광령리 2611-1 ,"제주특별자치도 제주시 애월읍 광령평화3길 18, 1층",58,4.6,183,4.6,제주시,애월,33.4471985000565, 126.433182380238
램하우스,고기,영업,제주특별자치도 제주시 조천읍 교래리 471-3 ,"제주특별자치도 제주시 조천읍 교래1길 45, B,C동 1층",515,4.9,1945,4.79,제주시,조천,33.4368547873796, 126.673109047504
살레안의고깃,고기,영업,제주특별자치도 제주시 노형동 1942-1 ,"제주특별자치도 제주시 월산남길 110, 1층 (노형동)",32,4.3,113,3.97,제주시,제주,33.4652929490576, 126.469338223092
인추자커피앤민박,카페,영업,제주특별자치도 제주시 추자면 대서리 8-8 ,"제주특별자치도 제주시 추자면 추자로 20-1, 1층",31,3.7,103,4.3,제주시,추자도,33.96371462417, 126.296844031964
혜안,양식,영업,제주특별자치도 제주시 해안동 1724-1 ,"제주특별자치도 제주시 해안마을10길 39, 1층 (해안동)",105,3.8,123,4.34,제주시,제주,33.4506024948781, 126.453389105644
호자,한식,영업,제주특별자치도 제주시 구좌읍 세화리 1318-3 ,"제주특별자치도 제주시 구좌읍 세화8길 7, 1층",143,4.3,351,0.0,제주시,구좌,33.5213869796897, 126.857501083889
한림칼국수제주세화,한식,영업,제주특별자치도 제주시 구좌읍 세화리 1-15 ,"제주특별자치도 제주시 구좌읍 해녀박물관길 33-1, 1층",212,4.2,514,4.51,제주시,구좌,33.5237728622221, 126.862182993733
애월기록,카페,영업,제주특별자치도 제주시 애월읍 하귀2리 2964-9 ,"제주특별자치도 제주시 애월읍 번대동길 4, 1층",52,4.5,167,4.65,제주시,애월,33.4783867837943, 126.391894578997
딜레탕트,카페,영업,제주특별자치도 제주시 조천읍 조천리 3253-12 ,"제주특별자치도 제주시 조천읍 신북로 144, ",411,4.9,466,4.91,제주시,조천,33.5350586524785, 126.62843947206
미리로,카페,영업,제주특별자치도 제주시 이호일동 1795 ,"제주특별자치도 제주시 테우해안로 136, 2층 (이호일동)",32,4.4,350,4.57,제주시,제주,33.4976694506363, 126.448419806984
36.5도여름,카페,영업,제주특별자치도 제주시 애월읍 납읍리 2274-7 ,"제주특별자치도 제주시 애월읍 애납로 165, 1층",34,4.7,84,4.61,제주시,애월,33.4394119412375, 126.328278454637
안녕전복,한식,영업,제주특별자치도 제주시 삼도이동 887-1 ,"제주특별자치도 제주시 관덕로 3, 1층 (삼도이동)",93,4.6,593,4.55,제주시,제주,33.5128581842416, 126.519603819358
부원뚝배기,한식,영업,제주특별자치도 제주시 한림읍 대림리 1221-6 ,"제주특별자치도 제주시 한림읍 일주서로 5608, 지하1층",106,4.0,326,4.41,제주시,한림,33.427597619201, 126.277649144284
